co,no2,nox,pm10,pm25,relativehumidity,temperature
2.84,168.1,0.1449,276.0,149.0,87.0,8.5
4.13,85.4,0.0499,339.0,229.0,88.0,13.3
2.86,63.7,0.1407,437.0,285.0,92.0,9.8
0.21,69.6,0.0386,271.0,101.0,51.0,15.1
2.12,205.9,0.1507,268.0,122.0,87.0,11.0
3.6,35.2,0.0219,143.0,62.0,92.0,12.2
0.96,117.5,0.0691,110.0,43.0,52.0,12.2
3.64,78.6,0.1169,310.0,145.0,88.0,9.3
1.98,101.3,0.1381,237.0,124.0,93.0,7.8
2.28,103.6,0.0631,89.0,38.0,89.0,11.1
2.75,130.8,0.0798,215.0,94.0,85.0,12.0
3.98,82.3,0.0474,191.0,68.0,83.0,12.7
1.73,167.3,0.0991,337.0,178.0,78.0,13.8
3.89,77.5,0.1311999999999999,310.0,145.0,88.0,9.5
1.95,152.7,0.1074,315.0,163.8,93.0,11.1
2.69,44.7,0.131,255.0,150.0,95.0,9.7
3.48,18.8,0.016,112.0,31.0,94.0,11.6
1.63,143.4,0.0867,183.0,97.0,87.0,11.7
2.3,144.0,0.0853,160.0,85.0,78.0,13.3
2.34,108.7,0.0650999999999999,254.0,113.0,88.0,11.5
2.13,123.5,0.0775,169.0,68.0,94.0,11.0
2.48,107.5,0.0662,191.0,69.0,83.0,12.3
2.37,103.0,0.0638,191.0,69.0,85.0,12.0
2.28,104.7,0.063,89.0,38.0,88.0,11.3
2.235,135.4,0.1067999999999999,183.0,85.0,92.0,11.2
1.9,229.4,0.1298,317.0,168.0,73.0,11.1
3.56,32.0,0.022,55.0,47.2,92.0,12.0
2.3,266.6,0.1498,453.0,251.0,62.0,12.9
3.18,53.6,0.0316,257.0,164.0,91.0,12.8
1.57,113.9,0.093,194.0,77.0,95.0,8.7
2.69,29.5,0.1349,255.0,150.0,95.0,9.1
2.22,99.8,0.0515,244.0,79.0,58.0,14.2
2.15,121.1,0.0701,233.0,96.0,74.0,14.0
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
1.58,130.3,0.0817,267.0,118.0,92.0,11.3
4.44,81.6,0.0557,364.0,201.0,88.0,13.3
3.64,84.55,0.16365,337.0,168.0,92.0,8.9
2.08,153.6,0.1177,290.0,157.0,86.0,9.4
1.0,99.8,0.0515,244.0,91.0,58.0,14.2
2.42,140.2,0.0809,301.0,118.0,66.0,14.4
1.84,106.6,0.131,266.0,135.0,95.0,7.5
