datetime_utc,co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed
2026-01-01 00:00:00+00:00,3.39,3.8,55.5,0.0325,32.3,269.0,127.0,94.0,46.4,12.2,90.0,1.1
2026-01-01 00:15:00+00:00,3.38,3.7,53.4,0.0314,31.8,285.0,163.0,94.0,46.6,12.2,112.0,1.1
2026-01-01 00:30:00+00:00,3.29,3.2,50.6,0.0295,32.9,285.0,163.0,94.0,45.9,12.2,95.0,1.2
2026-01-01 00:45:00+00:00,3.18,4.1,48.1,0.0289,30.8,285.0,163.0,94.0,40.9,12.2,110.0,1.1
2026-01-01 01:00:00+00:00,3.16,3.6,48.9,0.0289,30.4,285.0,163.0,94.0,33.3,12.2,100.0,0.8
2026-01-01 01:15:00+00:00,3.16,3.4,50.9,0.0298,28.4,326.0,168.0,94.0,27.0,12.2,105.0,0.8
2026-01-01 01:30:00+00:00,3.16,3.9,55.1,0.0325,26.7,326.0,168.0,94.0,24.4,12.2,101.0,0.6
2026-01-01 01:45:00+00:00,3.16,4.9,57.2,0.0345,25.3,326.0,168.0,94.0,21.7,12.2,109.0,0.8
2026-01-01 02:00:00+00:00,3.13,5.2,58.3,0.0352,28.2,326.0,168.0,94.0,21.2,12.2,109.0,1.1
2026-01-01 02:15:00+00:00,3.1,4.7,58.3,0.0347,29.0,283.0,186.0,93.0,21.2,12.2,102.0,1.1
2026-01-01 02:30:00+00:00,3.16,3.4,60.9,0.0352,30.4,283.0,186.0,93.0,23.3,12.2,96.0,0.9
2026-01-01 02:45:00+00:00,3.19,4.1,63.2,0.036899999999999995,30.0,283.0,186.0,93.0,27.5,12.2,107.0,0.9
2026-01-01 03:00:00+00:00,3.21,4.7,65.6,0.038700000000000005,29.4,283.0,186.0,92.0,35.4,12.2,97.0,1.2
2026-01-01 03:15:00+00:00,3.25,4.7,67.3,0.0395,28.0,227.0,113.0,92.0,40.3,12.3,98.0,1.4
2026-01-01 03:30:00+00:00,3.33,5.3,69.4,0.0412,23.9,227.0,113.0,92.0,42.7,12.3,99.0,0.9
2026-01-01 03:45:00+00:00,3.39,6.2,70.3,0.0425,22.9,227.0,113.0,92.0,45.3,12.5,101.0,1.2
2026-01-01 04:00:00+00:00,3.44,8.2,70.1,0.044,22.9,227.0,113.0,91.0,46.4,12.6,112.0,1.2
2026-01-01 04:15:00+00:00,3.5,10.0,69.9,0.045399999999999996,22.7,295.0,169.0,91.0,46.1,12.6,115.0,1.7
2026-01-01 04:30:00+00:00,3.48,10.8,71.4,0.046799999999999994,21.6,295.0,169.0,90.0,46.4,12.7,124.0,1.5
2026-01-01 04:45:00+00:00,3.44,12.3,74.3,0.0495,20.0,295.0,169.0,90.0,43.2,12.8,108.0,1.6
